query_name,Predicted_taxonomic_group,Predicted_protein_name,eggNOG_free_text_description,Species_id,Gene_id,Fdrs,gene_id_n,cluster_id_n,cluster_id,species_id,representative,MGnify_accession,species_closest,ani_closest,gtpro_kmer_counts,phyeco_marker_counts,phyeco_pass_ratio,pangene_counts,genome_counts,Genome_type,Length,N_contigs,N50,GC_content,Completeness,Contamination,Domain,Phylum,Class,Order,Family,Genus,Species,Continent,Lineage_Shared,cor_max_species,Family_max_rank,Sp_rank,Gene_id,BLAST – Bt?,,Predicted_taxonomic_group
GUT_GENOME098443_00653,Bacteroidaceae,proA,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,100196,UHGG000155_04552,0.0491805350037715,15504552,9844300653,GUT_GENOME098443_00653,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Streptococcus lutetiensis,3,183,UHGG000155_04552,Yes,,Bacteroidaceae
GUT_GENOME156633_02839,Bacteroidaceae,NA,Histidine kinase,100196,UHGG000155_00379,0.0126578380688695,15500379,15663302839,GUT_GENOME156633_02839,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Enterobacter cloacae_H,52,52,UHGG000155_00379,Yes,,Bacteroidaceae
GUT_GENOME125145_01889,Bacteroidaceae,lysC,Aspartate kinase,100196,UHGG182282_00380,0.0422200863699497,18228200380,12514501889,GUT_GENOME125145_01889,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,NA,15,262,UHGG182282_00380,Yes,,Bacteroidaceae
GUT_GENOME136743_02334,Bacteroidaceae,NA,Belongs to the glycosyl hydrolase 2 family,100196,UHGG000155_00620,0.0392407033599887,15500620,13674302334,GUT_GENOME136743_02334,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Veillonella dispar,3,10,UHGG000155_00620,Yes,,Bacteroidaceae
GUT_GENOME105558_00522,Bacteroidaceae,exbB,MotA TolQ ExbB proton channel family,100196,UHGG000155_02160,0.0440904028106082,15502160,10555800522,GUT_GENOME105558_00522,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Veillonella parvula,2,2,UHGG000155_02160,Yes,Phage,Bacteroidaceae
GUT_GENOME131478_02283,Bacteroidaceae,NA,"Psort location CytoplasmicMembrane, score 10.00",100196,UHGG015929_01899,0.013984454139503,1592901899,13147802283,GUT_GENOME131478_02283,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG015929_01899,Yes,,Bacteroidaceae
GUT_GENOME215553_02300,Bacteroidaceae,pelA,pectate lyase,100196,UHGG254011_02042,0.0440904028106082,25401102042,21555302300,GUT_GENOME215553_02300,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides cellulosilyticus,1,862,UHGG254011_02042,Yes,,Bacteroidaceae
GUT_GENOME001290_04186,Bacteroidaceae,NA,ATPase (AAA superfamily),100196,UHGG000155_03696,0.0434919010332794,15503696,129004186,GUT_GENOME001290_04186,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG000155_03696,Yes,,Bacteroidaceae
GUT_GENOME255005_01869,Bacteroidaceae,rluA,"Pseudouridine synthase, RluA family",100196,UHGG254011_01987,0.0440904028106082,25401101987,25500501869,GUT_GENOME255005_01869,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides clarus,1,1524,UHGG254011_01987,Yes,,Bacteroidaceae
GUT_GENOME019997_01732,Bacteroidaceae,gdh,Conserved protein,100196,UHGG001849_01464,0.0169907194850235,184901464,1999701732,GUT_GENOME019997_01732,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG001849_01464,Yes,,Bacteroidaceae
GUT_GENOME031571_00540,Clostridiaceae,tsaD,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",100196,UHGG000155_02426,0.0118744643700412,15502426,3157100540,GUT_GENOME031571_00540,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG000155_02426,Yes,,Clostridiaceae
GUT_GENOME204761_01408,Sutterellaceae,relA,In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance,100196,UHGG000155_03661,0.0328225226089343,15503661,20476101408,GUT_GENOME204761_01408,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG000155_03661,Yes,Phage,Sutterellaceae
GUT_GENOME222701_00310,Eubacteriaceae,NA,"Psort location CytoplasmicMembrane, score",100196,UHGG003489_04636,0.0434919010332794,348904636,22270100310,GUT_GENOME222701_00310,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG003489_04636,Yes,,Eubacteriaceae
GUT_GENOME031571_00540,Clostridiaceae,tsaD,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",100196,UHGG084313_02210,0.009463338184029,8431302210,3157100540,GUT_GENOME031571_00540,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides thetaiotaomicron,1,1,UHGG084313_02210,Yes,,Clostridiaceae
GUT_GENOME205828_01161,Oscillospiraceae,XK27_05795,Bacterial periplasmic substrate-binding proteins,100196,UHGG254011_01950,0.0150276204561636,25401101950,20582801161,GUT_GENOME205828_01161,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,TRUE,Bacteroides clarus,1,1536,UHGG254011_01950,Yes,,Oscillospiraceae
GUT_GENOME032166_00873,Streptococcus oralis,mngB,"Alpha mannosidase, middle domain",100196,UHGG032166_00873,0.0230115338156878,3216600873,3216600873,GUT_GENOME032166_00873,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,NA,41,208,UHGG032166_00873,No,,Streptococcus oralis
GUT_GENOME202855_01772,Ruminococcaceae,rumA,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family,100196,UHGG202855_01772,0.0434919010332794,20285501772,20285501772,GUT_GENOME202855_01772,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Faecalibacterium prausnitzii_C,6,1480,UHGG202855_01772,No,Phage,Ruminococcaceae
GUT_GENOME225446_00472,Negativicutes,secE,Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation,100196,UHGG032409_04061,0.00964051189799201,3240904061,22544600472,GUT_GENOME225446_00472,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Veillonella sp002959755,38,78,UHGG032409_04061,No,,Negativicutes
GUT_GENOME038252_02941,Dorea,NA,Phage integrase family,100196,UHGG019762_04290,0.0259154570155275,1976204290,3825202941,GUT_GENOME038252_02941,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,CAG-170 sp003516765,10,1322,UHGG019762_04290,No ,Phage,Dorea
GUT_GENOME181206_00155,Negativicutes,rpsG,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA",100196,UHGG045143_03065,0.0422200863699497,4514303065,18120600155,GUT_GENOME181206_00155,100196,GUT_GENOME001120,MGYG-HGUT-00196,102281,88.95435,15304,15,1,173878,572,Isolate,6397473,84,188408,43.19,99.41,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Asia,FALSE,Enterobacter cloacae,19,19,UHGG045143_03065,No,,Negativicutes
